Room;Occupants
8f315cee-3554-47a5-8bd4-2b0596536329;0
bdc433d3-cfc7-4df9-9d41-e18754141742;2
ddbf9fd2-1c1b-42b2-af8e-ae48334ed9be;0
c4a03326-5827-4575-9be8-ec52da43b0ea;2
2ed7b86f-9d1c-4399-a7d5-0ce8d2818fc6;2
3b84a99d-7e2e-4fdb-82ba-18324c8fb414;2
227ea9ff-36af-4c2a-8955-43b972b118a9;1
4b5e2962-69b6-4bef-aed3-45388b59be69;2
45e4c428-a0ff-4852-a264-17c199689d7a;2
e8a73604-b4a2-48a2-82a8-4e632704f3d1;2
c60be8d0-c113-463e-96b8-3045b608af18;0
bd874c84-ca4d-41ea-8626-d3165d32cf4a;0
8227d0cd-7845-4a38-833d-c217197a54c2;1
324b6a51-279f-4390-ab9d-354783ed31af;1
282b82aa-8d8a-4e84-ab41-c834bc6766ba;1
7999c080-8cc7-4003-8400-c67627e49c4f;1
e265ded1-80cf-4f90-80ab-13650a0b2970;2
dfdabc18-64ca-4eb2-a519-6a4a5f945d4b;1
8cc74e7f-dc53-409c-a17b-705af07c06b2;0
7f6e4119-c608-4e8f-b163-93dc2e8b233f;1
becf1949-e0a8-48e1-aad7-4436bc24f04e;1
167c9fd1-b8aa-4f37-b930-9e75d24ae780;0
360195d3-65d8-4b8a-af3a-7b45590a91c5;3
9fcfbed2-2d3b-4b69-9fb5-17eae1c308b6;1
0115f77f-928a-4daf-861c-2781616ca30c;1
5223f60f-10aa-4ac4-a51e-c94516843d48;1
8193ce1f-5014-44a7-9fc4-9d8aecc7dd13;1
b449ac2d-ab73-45cf-9484-271876ed5abb;1
9a6a45a4-e738-434a-9f43-f7be213c54f4;1
444e4d03-020b-43a1-9f0e-3e30c229873d;0
182fc3f4-a060-49f5-ab7f-a2eb50686e49;0
9bddfc44-0f10-431f-9599-da47b507f6f4;1
c731cbe8-4c7a-4919-861e-36a6852b498e;2
66e5e45b-b2d7-44bf-a143-cf928047ea50;1
142496b5-d9d0-4393-9375-0d08d87c4efb;2
843f85dd-9a52-45db-9c16-45c230b2f293;0
8456be8c-5f45-4cbe-9dfb-3f5fa46f5f69;1
df825bdb-4fa4-4c8a-bd39-b4c6aa1e696f;1
b7db5d8a-78f0-49b7-ba94-c4c366b46150;1
948360b1-9ab2-4d21-a70e-fae556dbf391;2
a3376794-ebca-4d9d-ab8c-c3e9f0adb28e;1
493e666b-add3-487b-9ce8-77762ed9d3e5;2
63db8a1e-f9da-4bdf-9e54-5cbc6d99d82a;0
0df68c01-dab5-4ea2-8177-2d1bc5601851;0
f5962a11-6c68-451b-9f8d-1430376d0103;2
4ff25f3f-ae7b-4a5e-8eed-d074a8312ebc;2
3d3b1315-b333-4fae-9a49-68935a14a0f2;2
cbb7f4bc-e7e8-4f9d-96fb-304b46ff5df4;3
dd4f4b67-773f-4776-ac3f-88ed21f00640;2
2a8667d8-3c93-41cd-84ac-80c6130061b5;2
d9f9bda2-7b3f-46f1-8ff6-2a61b87511d9;0
41fdb2ea-10a2-47cc-acd8-cab8347f7185;0
6e526ba7-d424-4817-b181-960bb5fb5b2e;0
a568c616-87ce-464e-b4d4-0837b2db9ffb;1
43a5f3ed-a601-40ee-b07b-006e6dc401ab;0
f2f345b2-9b39-43fa-a0ae-76acd21e04e2;7
